MN,N_tau
0.9698681732580039, 2.666666666666666
1.1431261770244823, 2.753623188405797
1.2711864406779663, 2.753623188405797
1.4293785310734464, 2.753623188405797
1.5649717514124293, 2.753623188405797
1.7080979284369118, 2.782608695652174
1.8512241054613936, 2.811594202898549
1.9868173258003767, 2.811594202898549
2.1374764595103577, 2.811594202898549
2.273069679849341, 2.811594202898549
2.431261770244821, 2.840579710144926
2.559322033898305, 2.869565217391303
2.709981167608286, 2.9275362318840585
2.845574387947269, 2.9275362318840585
3.003766478342749, 2.9855072463768124
3.1694915254237284, 3.0724637681159415
3.365348399246704, 3.1594202898550723
3.598870056497175, 3.304347826086955
3.80225988700565, 3.4202898550724647
3.95291902071563, 3.507246376811594
4.1035781544256125, 3.6521739130434785
4.246704331450093, 3.7391304347826075
4.412429378531073, 3.8550724637681153
4.608286252354048, 4
4.789077212806026, 4.144927536231883
4.962335216572505, 4.260869565217391
5.143126177024481, 4.405797101449275
5.286252354048964, 4.492753623188406
5.429378531073446, 4.608695652173912
5.557438794726931, 4.72463768115942
5.72316384180791, 4.869565217391303
5.858757062146893, 4.89855072463768
6.0018832391713755, 5.0434782608695645
6.129943502824858, 5.101449275362318
6.227871939736346, 5.130434782608695
