MN,N_tau
0.9819587628865979, 2.71144278606965
1.1056701030927836, 2.71144278606965
1.2293814432989691, 2.71144278606965
1.384020618556701, 2.71144278606965
1.5541237113402064, 2.8109452736318374
1.7319587628865984, 2.7611940298507456
1.8943298969072164, 2.7611940298507456
2.0876288659793816, 2.8109452736318374
2.25, 2.860696517412933
2.4355670103092786, 2.9104477611940283
2.6443298969072164, 3.059701492537311
2.829896907216495, 3.059701492537311
3.015463917525773, 3.2089552238805936
3.2010309278350517, 3.3582089552238763
3.417525773195876, 3.60696517412935
3.603092783505155, 3.756218905472636
3.8118556701030935, 4.054726368159201
4.036082474226805, 4.303482587064675
4.260309278350515, 4.552238805970145
4.453608247422681, 4.850746268656714
4.677835051546392, 5.099502487562187
4.878865979381444, 5.4975124378109435
5.064432989690721, 5.646766169154226
5.25, 5.8955223880597
5.427835051546392, 6.144278606965173
5.597938144329897, 6.343283582089551
5.721649484536083, 6.492537313432834
5.868556701030927, 6.741293532338304
6.030927835051546, 6.89054726368159
6.146907216494846, 7.039800995024873
6.255154639175258, 7.13930348258706
